imageID,username,imageName,groundTruthSize,experience,imgW,imgH,tissueArea,tumorArea,annoArea,groundTruth,diagnosis,diagnosisBinary,diagnosisError,correctness,magnification,taskCompletionTime,cancerType,tumorTissueRatio,imgPrecision,imgRecall,imgIoU,imgF1,imgF05,imgF025,tpArea,fpArea,fnArea,tnArea,overallAcc,overallPrecision,overallRecall,overallF1,overallF05,overallF025,meanPrecision,meanRecall,meanIoU,meanF1,meanF05,meanF025,zoom,imageZoom,numFixations,numFixationsInGT,fixationDuration,fixationDurationInGT,timeToFirstGTFix,saccadeDistance,saccadeSpeed,eccentricity,fixationDistToCenter,coverage,turnAngle
C41,P1,test_002.tif,Macro,2,97792,221184,1449378,34688,20958,1,Malignant,1,TP,1,20,74.057,Lymph,0.01474632567,0.8917793965,0.5613624667,0.5255595953,0.6890056565,0.7978560694,0.8619362145,11998,1456,9375,1426549,0.65,1,0.5333333333,0.6956521739,0.8510638298,0.951048951,0.6,0.48,0.46,0.51,0.55,0.58,20.226,0.1317,187,72,274.4759,288.6389,21143,6398.389,21.65362,198.1982,400.7116,0.187749,87.93801
C10,P10,test_051.tif,Macro,1,96768,211968,862037,63168,102196,1,Malignant,1,TP,1,20,67.146,Lymph,0.06457031427,0.7650219606,0.8824512235,0.6942712971,0.8195515067,0.7859392101,0.7710576033,49119,15087,6543,791288,0.55,1,0.4,0.5714285714,0.7692307692,0.9189189189,0.48,0.47,0.42,0.46,0.47,0.47,11.389,0.0774,156,34,312.4615,285.5882,8548,3391.976,9.254859,105.6682,346.1325,0.152705,72.85582
C10,P11,test_051.tif,Macro,3,96768,211968,862037,63168,104947,1,Malignant,1,TP,1,20,67.774,Lymph,0.06457031427,0.7179812504,0.9149868851,0.6730807353,0.804600425,0.7502902163,0.7271913336,50930,20005,4732,786370,0.8833333333,0.975,0.8666666667,0.9176470588,0.9512195122,0.9678832117,0.56,0.71,0.5,0.58,0.56,0.56,11.389,0.0774,158,41,280.2089,318.3415,2029,3404.668,11.63541,124.0748,398.8191,0.110003,92.31157
C10,P2,test_051.tif,Macro,1,96768,211968,862037,63168,78798,1,Malignant,1,TP,1,20,94.653,Lymph,0.06457031427,0.7750030881,0.676314182,0.5653166344,0.722303235,0.7530265085,0.7684073646,37645,10929,18017,795446,0.6333333333,1,0.5111111111,0.6764705882,0.8394160584,0.9467312349,0.49,0.5,0.42,0.48,0.48,0.48,65.415,0.4444,227,90,245.6256,253.4556,37730,1939.051,7.061046,133.7565,330.2301,0.086908,84.51395
C10,P3,test_051.tif,Macro,3,96768,211968,862037,63168,56791,1,Malignant,1,TP,1,20,79.769,Lymph,0.06457031427,0.6100501858,0.3363156193,0.2768084225,0.4335942929,0.5246460321,0.5821768703,18720,11966,36942,794409,0.8,1,0.7333333333,0.8461538462,0.9322033898,0.9790575916,0.65,0.44,0.4,0.47,0.51,0.57,5.062,0.0344,195,63,283.841,335.254,3348,4668.846,15.59281,136.6574,423.2428,0.160052,93.42304
C10,P4,test_051.tif,Macro,2,96768,211968,862037,63168,8784,1,Malignant,1,TP,1,20,42.769,Lymph,0.06457031427,0.969992609,0.1178901225,0.1174617381,0.2102295481,0.3966296753,0.6806140255,6562,203,49100,806172,0.7833333333,0.9210526316,0.7777777778,0.843373494,0.8883248731,0.911179173,0.62,0.49,0.43,0.51,0.54,0.58,2.25,0.0153,95,54,264.8737,305.463,3029,8389.86,21.84777,56.47031,401.8437,0.140051,91.00918
C10,P5,test_051.tif,Macro,1,96768,211968,862037,63168,30395,1,Malignant,1,TP,1,20,49.564,Lymph,0.06457031427,0.6520098974,0.2887787,0.2502140378,0.4002739214,0.5209562208,0.6070915998,16074,8579,39588,797796,0.6833333333,1,0.5777777778,0.7323943662,0.8724832215,0.9587852495,0.55,0.5,0.43,0.5,0.52,0.53,17.084,0.1161,121,52,236.2562,259.5577,8767,5162.38,19.6298,159.2487,391.8215,0.130259,104.1478
C10,P6,test_051.tif,Macro,3,96768,211968,862037,63168,71103,1,Malignant,1,TP,1,20,26.76,Lymph,0.06457031427,0.8266716876,0.8282311092,0.705685158,0.8274506637,0.8269831019,0.8267632557,46101,9666,9561,796709,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.51,0.53,0.46,0.51,0.5,0.5,7.593,0.0516,69,30,264.8696,280.0667,9108,5626.918,17.88153,296.0113,342.3111,0.078969,94.78673
C10,P7,test_051.tif,Macro,4,96768,211968,862037,63168,0,1,Benign,0,FN,0,20,60.023,Lymph,0.06457031427,0,0,0,0,0,0,0,0,55662,806375,0.6666666667,1,0.5555555556,0.7142857143,0.8620689655,0.9550561798,0.54,0.56,0.48,0.54,0.54,0.54,2.25,0.0153,16,0,120.75,0,-1,5605.969,5.162831,705.3139,313.4043,0.036923,78.39481
C10,P8,test_051.tif,Macro,4,96768,211968,862037,63168,0,1,Benign,0,FN,0,20,14.399,Lymph,0.06457031427,0,0,0,0,0,0,0,0,55662,806375,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.46,0.46,0.39,0.44,0.45,0.46,2.25,0.0153,25,2,251.16,121,922,10721.37,43.50667,256.9399,417.609,0.108243,94.17149
C10,P9,test_051.tif,Macro,2,96768,211968,862037,63168,140525,1,Neoplastic,1,TP,1,20,255.043,Lymph,0.06457031427,0.615100249,0.8609104955,0.5594993462,0.7175371346,0.6523526625,0.6256076452,47920,29986,7742,776389,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.45,0.54,0.43,0.48,0.46,0.45,8.614,0.0585,765,439,240.1438,251.6788,7014,3808.538,12.81039,76.74157,475.7717,0.232654,90.42276
C42,P1,test_004.tif,Micro,2,98304,103936,1600093,334,0,1,Benign,0,FN,0,40,34.433,Lymph,0.0001656153736,0,0,0,0,0,0,0,0,265,1599828,0.65,1,0.5333333333,0.6956521739,0.8510638298,0.951048951,0.6,0.48,0.46,0.51,0.55,0.58,1,0.0139,89,0,247.5843,0,-1,6810.193,23.77308,520.7646,454.9906,0.122665,93.95744
C11,P10,test_052.tif,Micro,1,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,87.057,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.55,1,0.4,0.5714285714,0.7692307692,0.9189189189,0.48,0.47,0.42,0.46,0.47,0.47,30.129,0.1975,256,0,255.625,0,-1,3302.119,13.48382,509.6866,332.2612,0.180002,82.00064
C11,P11,test_052.tif,Micro,3,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,95.817,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.8833333333,0.975,0.8666666667,0.9176470588,0.9512195122,0.9678832117,0.56,0.71,0.5,0.58,0.56,0.56,25.628,0.168,248,0,291.25,0,-1,4998.413,14.52491,689.9314,382.9179,0.126047,88.24709
C11,P2,test_052.tif,Micro,1,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,56.346,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.6333333333,1,0.5111111111,0.6764705882,0.8394160584,0.9467312349,0.49,0.5,0.42,0.48,0.48,0.48,101.684,0.6667,120,0,276.825,0,-1,4206.049,15.27349,506.1114,295.9602,0.127989,66.13387
C11,P3,test_052.tif,Micro,3,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,53.14,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.8,1,0.7333333333,0.8461538462,0.9322033898,0.9790575916,0.65,0.44,0.4,0.47,0.51,0.57,1,0.0066,120,0,261.15,0,-1,9202.93,30.1992,576.5809,421.9509,0.245765,89.0444
C11,P4,test_052.tif,Micro,2,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,163.206,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.7833333333,0.9210526316,0.7777777778,0.843373494,0.8883248731,0.911179173,0.62,0.49,0.43,0.51,0.54,0.58,25.628,0.168,407,0,293.4447,0,-1,4784.828,14.6486,530.4039,416.0161,0.22165,99.3401
C11,P5,test_052.tif,Micro,1,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,41.571,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.6833333333,1,0.5777777778,0.7323943662,0.8724832215,0.9587852495,0.55,0.5,0.43,0.5,0.52,0.53,7.593,0.0498,123,0,227.935,0,-1,7358.195,29.21062,744.0657,413.0356,0.154069,97.09132
C11,P6,test_052.tif,Micro,3,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,26.106,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.51,0.53,0.46,0.51,0.5,0.5,1.5,0.0098,49,0,293.1429,0,-1,10141.89,30.70545,462.0082,468.9855,0.122988,88.77666
C11,P7,test_052.tif,Micro,4,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,35.74,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.6666666667,1,0.5555555556,0.7142857143,0.8620689655,0.9550561798,0.54,0.56,0.48,0.54,0.54,0.54,5.062,0.0332,30,0,96.96667,0,-1,5713.844,10.25014,550.5946,323.4184,0.079549,70.06181
C11,P8,test_052.tif,Micro,4,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,29.423,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.46,0.46,0.39,0.44,0.45,0.46,3.375,0.0221,53,0,238.2453,0,-1,11342.59,36.16728,601.0837,376.088,0.132114,97.3114
C11,P9,test_052.tif,Micro,2,97792,219648,1168262,520,0,1,Benign,0,FN,0,20,59.939,Lymph,0.000186601978,0,0,0,0,0,0,0,0,218,1168044,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.45,0.54,0.43,0.48,0.46,0.45,5.062,0.0332,149,0,219.7718,0,-1,7994.082,26.91051,856.5494,468.5214,0.166801,90.0844
C43,P1,test_014.tif,None,2,110592,100352,2173502,0,0,0,Benign,1,TN,1,40,24.192,Lymph,0,1,1,1,1,1,1,0,0,0,2173502,0.65,1,0.5333333333,0.6956521739,0.8510638298,0.951048951,0.6,0.48,0.46,0.51,0.55,0.58,0.749,0.0143,57,0,267.8772,0,-1,9919.575,36.73305,2561.984,458.2541,0.165798,92.20984
C12,P10,test_053.tif,None,1,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,156.286,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.55,1,0.4,0.5714285714,0.7692307692,0.9189189189,0.48,0.47,0.42,0.46,0.47,0.47,8.886,0.0585,454,0,266.9251,0,-1,3486.766,12.00894,2561.984,336.2025,0.142529,77.75381
C12,P11,test_053.tif,None,3,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,108.776,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.8833333333,0.975,0.8666666667,0.9176470588,0.9512195122,0.9678832117,0.56,0.71,0.5,0.58,0.56,0.56,129.756,0.8546,288,0,284.9097,0,-1,5481.91,17.31242,2561.984,427.2691,0.090547,84.46668
C12,P2,test_053.tif,None,1,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,82.71,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.6333333333,1,0.5111111111,0.6764705882,0.8394160584,0.9467312349,0.49,0.5,0.42,0.48,0.48,0.48,101.222,0.6667,179,0,275.8045,0,-1,5813.197,19.36316,2561.984,353.2056,0.195824,80.2973
C12,P3,test_053.tif,None,3,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,84.241,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.8,1,0.7333333333,0.8461538462,0.9322033898,0.9790575916,0.65,0.44,0.4,0.47,0.51,0.57,7.594,0.05,223,0,274.2556,0,-1,7223.993,23.45005,2561.984,486.9701,0.199278,90.73006
C12,P4,test_053.tif,None,2,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,3807.656,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.7833333333,0.9210526316,0.7777777778,0.843373494,0.8883248731,0.911179173,0.62,0.49,0.43,0.51,0.54,0.58,25.631,0.1688,438,0,268.105,0,-1,10669.62,28.39592,2561.984,484.208,0.663822,93.45111
C12,P5,test_053.tif,None,1,97792,218624,3393097,0,12180,0,Benign,1,TN,1,20,180.153,Lymph,0,0,0,0,0,0,0,0,6589,0,3386508,0.6833333333,1,0.5777777778,0.7323943662,0.8724832215,0.9587852495,0.55,0.5,0.43,0.5,0.52,0.53,19.995,0.1317,403,0,231.8908,0,-1,4094.708,15.11889,2561.984,395.5264,0.184546,95.57314
C12,P6,test_053.tif,None,3,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,18.874,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.51,0.53,0.46,0.51,0.5,0.5,7.594,0.05,38,0,335.1053,0,-1,12131.54,46.42502,2561.984,467.6221,0.10414,101.8818
C12,P7,test_053.tif,None,4,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,68.432,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.6666666667,1,0.5555555556,0.7142857143,0.8620689655,0.9550561798,0.54,0.56,0.48,0.54,0.54,0.54,1,0.0066,73,0,119.0822,0,-1,10841.01,17.4402,2561.984,298.9815,0.185712,95.98408
C12,P8,test_053.tif,None,4,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,24.423,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.46,0.46,0.39,0.44,0.45,0.46,1.5,0.0099,65,0,235.0462,0,-1,14422.78,55.50659,2561.984,379.0023,0.218122,91.6481
C12,P9,test_053.tif,None,2,97792,218624,3393097,0,0,0,Benign,1,TN,1,20,66.2,Lymph,0,1,1,1,1,1,1,0,0,0,3393097,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.45,0.54,0.43,0.48,0.46,0.45,1,0.0066,178,0,207.236,0,-1,11196.19,40.03628,2561.984,423.0546,0.409456,94.1889
C5,P1,test_016.tif,Macro,2,110592,93184,2350044,665753,547539,1,Malignant,1,TP,1,40,26.086,Lymph,0.2458698646,0.9230782152,0.6657592094,0.6307650432,0.7735817564,0.8568434276,0.9025580476,384679,32056,193126,1740183,0.65,1,0.5333333333,0.6956521739,0.8510638298,0.951048951,0.6,0.48,0.46,0.51,0.55,0.58,1.21,0.0232,47,21,251.8298,325.1429,1437,18940.52,67.81858,108.0916,521.2125,0.239673,75.07559
C13,P10,test_054.tif,None,1,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,114.703,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.55,1,0.4,0.5714285714,0.7692307692,0.9189189189,0.48,0.47,0.42,0.46,0.47,0.47,38.448,0.255,378,0,228.045,0,-1,3392.238,11.761,2561.984,373.1048,0.160259,76.96078
C13,P11,test_054.tif,None,3,97792,217088,1426843,0,4560,0,Atypical,0,FP,0,20,181.862,Lymph,0,0,0,0,0,0,0,0,1479,0,1425364,0.8833333333,0.975,0.8666666667,0.9176470588,0.9512195122,0.9678832117,0.56,0.71,0.5,0.58,0.56,0.56,150.772,1,473,0,206.6913,0,-1,4169.635,13.53509,2561.984,403.906,0.193568,88.20904
C13,P2,test_054.tif,None,1,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,59.413,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.6333333333,1,0.5111111111,0.6764705882,0.8394160584,0.9467312349,0.49,0.5,0.42,0.48,0.48,0.48,25.632,0.17,133,0,275.4361,0,-1,4196.348,14.67636,2561.984,305.5052,0.141827,65.75831
C13,P3,test_054.tif,None,3,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,74.861,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.8,1,0.7333333333,0.8461538462,0.9322033898,0.9790575916,0.65,0.44,0.4,0.47,0.51,0.57,17.088,0.1133,206,0,248.6748,0,-1,9350.591,31.79105,2561.984,510.4545,0.277329,92.53053
C13,P4,test_054.tif,None,2,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,93.976,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.7833333333,0.9210526316,0.7777777778,0.843373494,0.8883248731,0.911179173,0.62,0.49,0.43,0.51,0.54,0.58,25.632,0.17,219,0,248.9954,0,-1,6284.87,15.97903,2561.984,473.6347,0.147136,91.66826
C13,P5,test_054.tif,None,1,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,50.995,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.6833333333,1,0.5777777778,0.7323943662,0.8724832215,0.9587852495,0.55,0.5,0.43,0.5,0.52,0.53,5.063,0.0336,122,0,232.6475,0,-1,6123.193,23.65802,2561.984,509.4466,0.124421,95.04697
C13,P6,test_054.tif,None,3,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,23.425,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.51,0.53,0.46,0.51,0.5,0.5,5.063,0.0336,52,0,300.5,0,-1,11055.5,34.0561,2561.984,431.0361,0.101217,100.1962
C13,P7,test_054.tif,None,4,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,57.623,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.6666666667,1,0.5555555556,0.7142857143,0.8620689655,0.9550561798,0.54,0.56,0.48,0.54,0.54,0.54,2.25,0.0149,65,0,138.8923,0,-1,8863.068,25.98198,2561.984,363.6149,0.178764,86.33393
C13,P8,test_054.tif,None,4,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,26.671,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.46,0.46,0.39,0.44,0.45,0.46,3.375,0.0224,78,0,195.7436,0,-1,9719.477,39.89163,2561.984,449.2763,0.192549,91.78757
C13,P9,test_054.tif,None,2,97792,217088,1426843,0,0,0,Benign,1,TN,1,20,83.641,Lymph,0,1,1,1,1,1,1,0,0,0,1426843,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.45,0.54,0.43,0.48,0.46,0.45,3.375,0.0224,239,0,201.3473,0,-1,7992.868,31.22567,2561.984,536.5857,0.271971,89.05492
C44,P1,test_021.tif,Macro,2,97792,221184,2906583,3474545,3076100,1,Malignant,1,TP,1,20,19.293,Lymph,0.8072351624,0.9760058598,0.6678586163,0.6570704108,0.7930506833,0.8935498116,0.9502161046,1566994,38523,779302,521764,0.65,1,0.5333333333,0.6956521739,0.8510638298,0.951048951,0.6,0.48,0.46,0.51,0.55,0.58,17.085,0.1112,24,19,277.0417,287.2105,663,24616.82,72.27895,3.081974,221.4126,0.262238,97.02681
C14,P10,test_056.tif,None,1,97792,221184,1939666,0,0,0,Benign,1,TN,1,20,115.257,Lymph,0,1,1,1,1,1,1,0,0,0,1939666,0.55,1,0.4,0.5714285714,0.7692307692,0.9189189189,0.48,0.47,0.42,0.46,0.47,0.47,13.484,0.0878,318,0,285.934,0,-1,4342.101,14.26691,2561.984,361.7876,0.14712,77.34424
C14,P11,test_056.tif,None,3,97792,221184,1939666,0,0,0,Benign,1,TN,1,20,81.372,Lymph,0,1,1,1,1,1,1,0,0,0,1939666,0.8833333333,0.975,0.8666666667,0.9176470588,0.9512195122,0.9678832117,0.56,0.71,0.5,0.58,0.56,0.56,17.085,0.1112,203,0,171.5369,0,-1,4349.42,14.45923,2561.984,398.7422,0.067485,87.61219
C14,P2,test_056.tif,None,1,97792,221184,1939666,0,0,0,Benign,1,TN,1,20,75.426,Lymph,0,1,1,1,1,1,1,0,0,0,1939666,0.6333333333,1,0.5111111111,0.6764705882,0.8394160584,0.9467312349,0.49,0.5,0.42,0.48,0.48,0.48,31.612,0.2058,164,0,274.439,0,-1,4131.469,13.95597,2561.984,318.9168,0.192636,73.90638
C14,P3,test_056.tif,None,3,97792,221184,1939666,0,261520,0,Benign,1,TN,1,20,97.275,Lymph,0,0,0,0,0,0,0,0,71361,0,1868305,0.8,1,0.7333333333,0.8461538462,0.9322033898,0.9790575916,0.65,0.44,0.4,0.47,0.51,0.57,25.627,0.1669,232,0,261.6983,0,-1,6016.485,19.65364,2561.984,459.9177,0.194676,86.65215
C14,P4,test_056.tif,None,2,97792,221184,1939666,0,18741,0,Atypical,0,FP,0,20,89.802,Lymph,0,0,0,0,0,0,0,0,8343,0,1931323,0.7833333333,0.9210526316,0.7777777778,0.843373494,0.8883248731,0.911179173,0.62,0.49,0.43,0.51,0.54,0.58,38.44,0.2503,261,0,255.1609,0,-1,4092.492,13.38119,2561.984,367.1921,0.122981,97.50557
C14,P5,test_056.tif,None,1,97792,221184,1939666,0,0,0,Benign,1,TN,1,20,99.144,Lymph,0,1,1,1,1,1,1,0,0,0,1939666,0.6833333333,1,0.5777777778,0.7323943662,0.8724832215,0.9587852495,0.55,0.5,0.43,0.5,0.52,0.53,11.39,0.0742,206,0,262.0971,0,-1,6715.474,25.94898,2561.984,410.8498,0.198792,97.16014
C14,P6,test_056.tif,None,3,97792,221184,1939666,0,0,0,Benign,1,TN,1,20,44.396,Lymph,0,1,1,1,1,1,1,0,0,0,1939666,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.51,0.53,0.46,0.51,0.5,0.5,7.593,0.0494,95,0,268.1474,0,-1,11266.18,38.65105,2561.984,459.5393,0.173224,103.0907
C14,P7,test_056.tif,None,4,97792,221184,1939666,0,0,0,Benign,1,TN,1,20,118.389,Lymph,0,1,1,1,1,1,1,0,0,0,1939666,0.6666666667,1,0.5555555556,0.7142857143,0.8620689655,0.9550561798,0.54,0.56,0.48,0.54,0.54,0.54,11.39,0.0742,135,0,138.8519,0,-1,6629.443,14.2357,2561.984,383.2066,0.154265,96.78736
